type,timestamp,price,quantity,cost,balance,revenue,profit,profit_pct
SELL,2025-07-17 09:17:00,715.19,0.06386516793931912,,47.99235368652657,45.63005372906312,-0.0772768532065712,-0.16890005583471843
BUY,2025-07-17 09:31:00,718.16,0.06348548513172586,45.63832873820243,2.3540249483241382,,,
SELL,2025-07-17 10:05:00,717.2,0.06348548513172586,,47.840283094861455,45.48625814653732,-0.06094606572645192,-0.13367494708698935
BUY,2025-07-17 10:22:00,718.85,0.06322357785368071,45.493717209058495,2.34656588580296,,,
SELL,2025-07-17 10:33:00,716.99,0.06322357785368071,,47.631908298028186,45.285342412225226,-0.11759585480784698,-0.2587466091674221
BUY,2025-07-17 11:02:00,715.78,0.06321818559211878,45.2955631960099,2.336345102018285,,,
SELL,2025-07-17 11:30:00,718.31,0.06321818559211878,,47.70118973980045,45.36484463778216,0.1599420095480588,0.3534605605074147
BUY,2025-07-17 11:43:00,718.8,0.06304414336784979,45.36144638306323,2.339743356737216,,,
SELL,2025-07-17 11:51:00,718.7,0.06304414336784979,,47.60425936937239,45.26451601263518,-0.0063044143367792455,-0.013912075681679056
BUY,2025-07-17 12:18:00,717.12,0.06306342927390642,45.26927044730466,2.33498892206773,,,
SELL,2025-07-17 12:25:00,714.74,0.06306342927390642,,47.363870405860375,45.028881483792645,-0.15009096167189698,-0.3318830879071837
BUY,2025-07-17 12:38:00,716.28,0.06281855822522946,45.04067256245292,2.3231978434074563,,,
SELL,2025-07-17 13:09:00,717.79,0.06281855822522946,,47.368640218986414,45.04544237557896,0.09485602292009591,0.2108114145306292
BUY,2025-07-17 13:27:00,719.1,0.06257851231822707,45.04520841624512,2.323431802741297,,,
SELL,2025-07-17 13:36:00,716.33,0.06257851231822707,,47.10547066592798,44.782038863186685,-0.17334247912148784,-0.3852037268808207
BUY,2025-07-17 13:56:00,720.74,0.06208923763441959,44.794947329764206,2.310523336163776,,,
SELL,2025-07-17 14:39:00,725.51,0.06208923763441959,,47.31183976951538,45.001316433351604,0.29616566351618034,0.6618197963204459
BUY,2025-07-17 15:02:00,725.63,0.061940999932527066,44.99119402882065,2.3206457406947294,,,
SELL,2025-07-17 15:13:00,722.52,0.061940999932527066,,47.02950340067294,44.70885765997821,-0.19263650979016003,-0.4285930846299097
BUY,2025-07-17 15:29:00,721.29,0.06194183786083169,44.72270625886992,2.306797141803017,,,
SELL,2025-07-17 15:30:00,722.19,0.06194183786083169,,46.99583925063234,44.68904210882933,0.055747654074754155,0.1247764422077238
BUY,2025-07-17 15:32:00,723.47,0.06171098634096884,44.69069333538882,2.3051459152435214,,,
SELL,2025-07-17 15:37:00,722.96,0.06171098634096884,,46.875106025625286,44.569960110381764,-0.03147260303389355,-0.07049359337636542
BUY,2025-07-17 15:38:00,722.37,0.06164617955389069,44.575882075068364,2.2992239505569216,,,
SELL,2025-07-17 15:52:00,722.45,0.06164617955389069,,46.79097008684654,44.49174613628962,0.004931694364313778,0.011074657031720715
BUY,2025-07-17 16:48:00,714.43,0.06221942189228366,44.49587300408671,2.295097082759831,,,
SELL,2025-07-17 17:23:00,715.37,0.06221942189228366,,46.76049501400371,44.46539793124388,0.058486256578750034,0.13157342216872958
BUY,2025-07-17 17:50:00,718.0,0.06186973574276257,44.46689273356682,2.293602280436886,,,
SELL,2025-07-17 18:11:00,717.42,0.06186973574276257,,46.63580151119303,44.342199230756144,-0.03588444673080482,-0.0807799442896993
BUY,2025-07-17 18:23:00,719.63,0.06156498677880768,44.348315447069,2.2874860641240318,,,
SELL,2025-07-17 18:43:00,719.57,0.06156498677880768,,46.54350328301425,44.25601721889022,-0.003693899206725101,-0.008337617942546229
BUY,2025-07-17 18:53:00,720.24,0.06139110313071134,44.260544446982394,2.2829588360318596,,,
SELL,2025-07-17 19:06:00,719.77,0.06139110313071134,,46.42624566212356,44.1432868260917,-0.028853818471436005,-0.06525602576919183
BUY,2025-07-17 19:18:00,720.28,0.061233039066775956,44.14903831239639,2.2772073497271705,,,
SELL,2025-07-17 19:29:00,719.89,0.061233039066775956,,46.31417879101473,44.03697144128756,-0.023880885236041788,-0.054145610040537896
BUY,2025-07-17 19:37:00,720.36,0.061078446681470375,44.04246832131546,2.271710469699272,,,
SELL,2025-07-17 19:46:00,718.75,0.061078446681470375,,46.1279438884538,43.85623341875453,-0.09833629915716814,-0.2234993614303978
BUY,2025-07-17 20:20:00,711.75,0.0615687343786879,43.86536824072514,2.26257564772866,,,
SELL,2025-07-17 20:26:00,713.75,0.0615687343786879,,46.16331512635436,43.9007394786257,0.1231374687573758,0.2809975412715139
BUY,2025-07-17 20:33:00,714.24,0.061401138790933917,43.899004519406674,2.2643106069476886,,,
SELL,2025-07-17 20:58:00,715.52,0.061401138790933917,,46.154119691809036,43.88980908486135,0.07859345765239374,0.17921146953404637
BUY,2025-07-17 21:02:00,717.64,0.06109806268772446,43.890260120925795,2.263859570883241,,,
SELL,2025-07-17 21:38:00,720.94,0.06109806268772446,,46.26784884765723,44.003989276773986,0.2016236068694949,0.45984058859596294
BUY,2025-07-17 21:48:00,723.0,0.06079454551213604,43.99841086167962,2.2694379859776035,,,
SELL,2025-07-17 22:26:00,723.48,0.06079454551213604,,46.20909213531066,43.93965414933306,0.029181381845826405,0.06639004149377845
